07/05/18 21:43:41============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
#5 movement	true
#1 movement	true
#5 movement	false
07/06/18 09:20:36============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
#5 movement	true
#5 movement	false
#4 door	true
#2 noise	true
#4 door	false
#3 lazer	true
#3 lazer	false
#3 lazer	true
#3 lazer	false
07/06/18 09:22:46============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
#5 movement	true
#5 movement	false
#4 door	true
#2 noise	true
#4 door	false
07/06/18 09:25:07============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
#5 movement	true
#5 movement	false
07/06/18 09:25:52============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:26:18============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:26:40============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:27:55============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:28:25============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:31:14============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:33:06============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:36:34============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:39:41============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:40:38============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:41:07============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:41:57============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:42:11============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:44:26============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 09:45:26============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
#5 movement	true
#5 movement	false
#4 door	true
#4 door	false
#2 noise	true
07/06/18 09:47:17============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
#5 movement	true
#5 movement	false
#5 movement	true
#5 movement	false
#5 movement	true
#5 movement	false
#4 door	true
#4 door	false
#4 door	true
#2 noise	true
#2 noise	false
#4 door	false
07/06/18 09:48:30============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
#5 movement	true
#5 movement	false
07/06/18 09:52:57============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
#5 movement	true
#5 movement	false
#4 door	true
#4 door	false
#3 lazer	true
#3 lazer	false
#2 noise	true
#4 door	true
#2 noise	false
#4 door	false
#2 noise	true
#4 door	true
#2 noise	false
#4 door	false
07/06/18 09:56:55============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 10:02:23============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 10:02:59============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 10:03:15============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 10:03:36============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 10:04:26============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 10:05:48============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 10:07:29============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
07/06/18 10:15:36============
#1	movement
#2	lazer
#3	door
#4	movement
07/06/18 10:24:06============
#1	movement
#2	lazer
#3	door
#4	movement
07/06/18 10:24:54============
#1	movement
#2	lazer
#3	door
#4	movement
07/06/18 10:26:03============
#1	movement
#2	lazer
#3	door
#4	movement
07/06/18 10:26:38============
#1	movement
#2	noise
#3	lazer
#4	door
#5	movement
#5 movement	true
#1 movement	true
#5 movement	false
#5 movement	true
#1 movement	false
